routename,routeid,start,end,length,ave_speed(m/s),ave_grad,gap_time(s),track,path
R193,EC5493D(S),EC5493,EC5504,304.1034049,4.470400004,0,68.02599423,"['TGAL', 'TGAK', 'TGAJ']","['P432', 'P1066', 'P433', 'P434', 'P441', 'P466', 'P458', 'P462', 'P463', 'P464']"
R195,EC5493E(S),EC5493,EC5497,241.0261537,4.470400004,0,53.916015,"['TGAL', 'TGAK', 'TGAJ']","['P432', 'P1066', 'P433', 'P434', 'P441', 'P467', 'P468', 'P469', 'P1759']"
R196,EC5496A(S),EC5496,EC5486,708.0701162,4.470400004,0.394640914,158.3907739,"['TGAJ', 'TGAK', 'TGAL', 'TGAM', 'TGAR']","['P469', 'P468', 'P467', 'P441', 'P434', 'P433', 'P1066', 'P432', 'P431', 'P430', 'P429', 'P428', 'P1540', 'P1054', 'P1539', 'P1537', 'P829']"
R197,EC5496B(S),EC5496,EC5488,790.6776468,4.470400004,0.353896947,176.8695522,"['TGAJ', 'TGAK', 'TEDM', 'TEDK', 'TEDJ', 'TEDH']","['P469', 'P468', 'P467', 'P441', 'P442', 'P440', 'P439', 'P1068', 'P438', 'P437', 'P436', 'P1065', 'P1748', 'P1541', 'P1538', 'P1064', 'P1536', 'P828']"
R198,EC5501A(S),EC5501,EC5486,792.1622699,4.470400004,0.352747724,177.2016529,"['TGAJ', 'TGAK', 'TGAL', 'TGAM', 'TGAR']","['P455', 'P454', 'P453', 'P457', 'P466', 'P441', 'P434', 'P433', 'P1066', 'P432', 'P431', 'P430', 'P429', 'P428', 'P1540', 'P1054', 'P1539', 'P1537', 'P829']"
R199,EC5501B(S),EC5501,EC5488,874.7698005,4.470400004,0.319876618,195.6804312,"['TGAJ', 'TGAK', 'TEDM', 'TEDK', 'TEDJ', 'TEDH']","['P455', 'P454', 'P453', 'P457', 'P466', 'P441', 'P442', 'P440', 'P439', 'P1068', 'P438', 'P437', 'P436', 'P1065', 'P1748', 'P1541', 'P1538', 'P1064', 'P1536', 'P828']"
R200,EC5502A(S),EC5502,EC5486,789.6614011,4.470400004,0.353864881,176.6422245,"['TGAJ', 'TGAK', 'TGAL', 'TGAM', 'TGAR']","['P452', 'P457', 'P466', 'P441', 'P434', 'P433', 'P1066', 'P432', 'P431', 'P430', 'P429', 'P428', 'P1540', 'P1054', 'P1539', 'P1537', 'P829']"
R201,EC5502B(S),EC5502,EC5488,872.2689317,4.470400004,0.320793731,195.1210028,"['TGAJ', 'TGAK', 'TEDM', 'TEDK', 'TEDJ', 'TEDH']","['P452', 'P457', 'P466', 'P441', 'P442', 'P440', 'P439', 'P1068', 'P438', 'P437', 'P436', 'P1065', 'P1748', 'P1541', 'P1538', 'P1064', 'P1536', 'P828']"
R202,EC5503A(S),EC5503,EC5486,770.5113443,4.470400004,0.362659732,172.3584788,"['TGAJ', 'TGAK', 'TGAL', 'TGAM', 'TGAR']","['P460', 'P459', 'P458', 'P466', 'P441', 'P434', 'P433', 'P1066', 'P432', 'P431', 'P430', 'P429', 'P428', 'P1540', 'P1054', 'P1539', 'P1537', 'P829']"
R203,EC5503B(S),EC5504,EC5488,879.3453466,4.470400004,0.318212186,196.7039517,"['TGAJ', 'TGAK', 'TEDM', 'TEDK', 'TEDJ', 'TEDH']","['P464', 'P463', 'P462', 'P458', 'P466', 'P441', 'P442', 'P440', 'P439', 'P1068', 'P438', 'P437', 'P436', 'P1065', 'P1748', 'P1541', 'P1538', 'P1064', 'P1536', 'P828']"
R204,EC5504A(S),EC5504,EC5486,796.737816,4.470400004,0.350721947,178.2251734,"['TGAJ', 'TGAK', 'TGAL', 'TGAM', 'TGAR']","['P464', 'P463', 'P462', 'P458', 'P466', 'P441', 'P434', 'P433', 'P1066', 'P432', 'P431', 'P430', 'P429', 'P428', 'P1540', 'P1054', 'P1539', 'P1537', 'P829']"
R205,EC5504B(S),EC5504,EC5488,879.3453466,4.470400004,0.318212186,196.7039517,"['TGAJ', 'TGAK', 'TEDM', 'TEDK', 'TEDJ', 'TEDH']","['P464', 'P463', 'P462', 'P458', 'P466', 'P441', 'P442', 'P440', 'P439', 'P1068', 'P438', 'P437', 'P436', 'P1065', 'P1748', 'P1541', 'P1538', 'P1064', 'P1536', 'P828']"
R77,TD5029A(M),TD5029,TD5033,1540.584931,38.87980376,3.186140445,39.74404394,"['TDME', 'TDMF', 'TDMH']","['P784', 'P1143', 'P1144', 'P1652', 'P1677', 'P140', 'P1145', 'P1496', 'P1500', 'P794', 'P1501', 'P1504', 'P1507']"
R78,TD5032A(M),TD5032,TD5030,872.4800004,33.52800003,-4.09339016,26.022429,"['TFPS', 'TFPV']","['P1146', 'P1494', 'P143', 'P1142', 'P1491', 'P1489', 'P781', 'P780']"
R79,TD5037A(M),TD5037,TD5045,1751.398,25.92436777,-0.646612799,70.0066511,"['TDMP', 'TDMS', 'TDMU', 'TDMV', 'TDMW']","['P802', 'P1009', 'P1516', 'P1011', 'P1517', 'P1013', 'P1660', 'P171', 'P1014', 'P168', 'P1016', 'P804']"
R80,TD5039A(M),TD5039,TD5045,903.1690224,23.21187153,-0.758,39.37034781,"['TFPE', 'TDMU', 'TDMV', 'TDMW']","['P803', 'P1012', 'P172', 'P171', 'P1014', 'P168', 'P1016', 'P804']"
R81,TD5040A(M),TD5040,TD5038,1105.883828,33.52800003,-0.930900358,32.9838889,"['TFPH', 'TFPJ']","['P1010', 'P1008', 'P1514', 'P1511', 'P799']"
,TD5040D(M),,,,,,,"['TDMZ', 'TFPB', 'TFMY', 'TFMW', 'TFMU', 'TFMR', 'TFMP', 'TFMN', 'TFML']",
